,oktmo,value,municipal_district_name_short,territory_id,municipal_district_name,municipal_district_type,region_code,region_name
20,01-617-000-000,-7.885714285714286,Ключевский,530,Ключевский муниципальный район,муниципальный район,22,Алтайский край
21,01-618-000-000,-6.545454545454546,Косихинский,531,Косихинский муниципальный район,муниципальный район,22,Алтайский край
22,01-619-000-000,-2.8947368421052633,Красногорский,532,Красногорский муниципальный район,муниципальный район,22,Алтайский край
23,01-620-000-000,-4.242424242424242,Краснощёковский,533,Краснощёковский муниципальный район,муниципальный район,22,Алтайский край
24,01-621-000-000,-7.314285714285714,Крутихинский,534,Крутихинский муниципальный район,муниципальный район,22,Алтайский край
25,01-622-000-000,2.6285714285714286,Кулундинский,535,Кулундинский муниципальный район,муниципальный район,22,Алтайский край
26,01-623-000-000,-0.6666666666666666,Курьинский,536,Курьинский муниципальный район,муниципальный район,22,Алтайский край
27,01-624-000-000,-6.666666666666667,Кытмановский,537,Кытмановский муниципальный район,муниципальный район,22,Алтайский край
28,01-625-000-000,-13.68421052631579,Локтевский,538,Локтевский муниципальный район,муниципальный район,22,Алтайский край
29,01-626-000-000,-2.5294117647058822,Мамонтовский,539,Мамонтовский муниципальный район,муниципальный район,22,Алтайский край
30,01-627-000-000,1.135135135135135,Михайловский,540,Михайловский муниципальный район,муниципальный район,22,Алтайский край
31,01-628-000-000,-4.0,Новичихинский,541,Новичихинский муниципальный район,муниципальный район,22,Алтайский край
32,01-629-000-000,2.810810810810811,Зональный,542,Зональный муниципальный район,муниципальный район,22,Алтайский край
33,01-630-000-000,-9.894736842105264,Павловский,543,Павловский муниципальный район,муниципальный район,22,Алтайский край
34,01-631-000-000,-2.5405405405405403,Панкрушихинский,544,Панкрушихинский муниципальный район,муниципальный район,22,Алтайский край
35,01-632-000-000,51.743589743589745,Первомайский,545,Первомайский муниципальный район,муниципальный район,22,Алтайский край
36,01-633-000-000,-3.4054054054054053,Петропавловский,546,Петропавловский муниципальный район,муниципальный район,22,Алтайский край
37,01-634-000-000,-3.081081081081081,Поспелихинский,547,Поспелихинский муниципальный район,муниципальный район,22,Алтайский край
38,01-635-000-000,-3.263157894736842,Ребрихинский,548,Ребрихинский муниципальный район,муниципальный район,22,Алтайский край
39,01-636-000-000,-2.176470588235294,Родинский,549,Родинский муниципальный район,муниципальный район,22,Алтайский край
40,01-637-000-000,0.4666666666666667,Романовский,550,Романовский муниципальный район,муниципальный район,22,Алтайский край
41,01-638-000-000,-9.485714285714286,Рубцовский,551,Рубцовский муниципальный район,муниципальный район,22,Алтайский край
42,01-640-000-000,-6.4324324324324325,Смоленский,552,Смоленский муниципальный район,муниципальный район,22,Алтайский край
43,01-641-000-000,-4.387096774193548,Суетский,553,Суетский муниципальный район,муниципальный район,22,Алтайский край
44,01-642-000-000,-5.111111111111111,Советский,554,Советский муниципальный район,муниципальный район,22,Алтайский край
45,01-643-000-000,-5.393939393939394,Солонешенский,555,Солонешенский муниципальный район,муниципальный район,22,Алтайский край
46,01-644-000-000,-2.5294117647058822,Солтонский,556,Солтонский муниципальный район,муниципальный район,22,Алтайский край
47,01-645-000-000,0.8823529411764706,Шелаболихинский,557,Шелаболихинский муниципальный район,муниципальный район,22,Алтайский край
48,01-646-000-000,-1.0303030303030303,Табунский,558,Табунский муниципальный район,муниципальный район,22,Алтайский край
49,01-647-000-000,2.6842105263157894,Тальменский,559,Тальменский муниципальный район,муниципальный район,22,Алтайский край
50,01-648-000-000,-5.4375,Тогульский,560,Тогульский муниципальный район,муниципальный район,22,Алтайский край
51,01-649-000-000,-3.2222222222222223,Топчихинский,561,Топчихинский муниципальный район,муниципальный район,22,Алтайский край
52,01-650-000-000,-4.352941176470588,Третьяковский,562,Третьяковский муниципальный район,муниципальный район,22,Алтайский край
53,01-651-000-000,-12.368421052631579,Троицкий,563,Троицкий муниципальный район,муниципальный район,22,Алтайский край
54,01-652-000-000,-6.242424242424242,Тюменцевский,564,Тюменцевский муниципальный район,муниципальный район,22,Алтайский край
55,01-653-000-000,-6.888888888888889,Угловский,565,Угловский муниципальный район,муниципальный район,22,Алтайский край
56,01-654-000-000,0.4864864864864865,Усть-Калманский,566,Усть-Калманский муниципальный район,муниципальный район,22,Алтайский край
57,01-655-000-000,-5.333333333333333,Усть-Пристанский,567,Усть-Пристанский муниципальный район,муниципальный район,22,Алтайский край
58,01-656-000-000,-5.085714285714285,Хабарский,568,Хабарский муниципальный район,муниципальный район,22,Алтайский край
59,01-657-000-000,-7.578947368421052,Целинный,569,Целинный муниципальный район,муниципальный район,22,Алтайский край
60,01-658-000-000,-5.081081081081081,Чарышский,570,Чарышский муниципальный район,муниципальный район,22,Алтайский край
61,01-659-000-000,-10.941176470588236,Шипуновский,571,Шипуновский муниципальный район,муниципальный район,22,Алтайский край
62,01-660-000-000,-5.0,Немецкий,572,Немецкий национальный муниципальный район,муниципальный район,22,Алтайский край
63,01-701-000-000,-12.974358974358974,Барнаул,504,городской округ город Барнаул,городской округ,22,Алтайский край
64,01-703-000-000,-3.2432432432432434,Алейск,505,городской округ город Алейск,городской округ,22,Алтайский край
65,01-704-000-000,9.621621621621621,Белокуриха,506,городской округ город Белокуриха,городской округ,22,Алтайский край
66,01-705-000-000,22.71794871794872,Бийск,507,городской округ город Бийск,городской округ,22,Алтайский край
67,01-706-000-000,-3.0,Заринск,508,городской округ город Заринск,городской округ,22,Алтайский край
68,01-713-000-000,36.3,Новоалтайск,509,городской округ город Новоалтайск,городской округ,22,Алтайский край
69,01-716-000-000,-10.666666666666666,Рубцовск,510,городской округ город Рубцовск,городской округ,22,Алтайский край
70,01-719-000-000,-8.842105263157896,Славгород,511,городской округ город Славгород,городской округ,22,Алтайский край
71,01-730-000-000,14.162162162162161,Яровое,512,городской округ город Яровое,городской округ,22,Алтайский край
72,01-755-000-000,7.0,Сибирский,513,городской округ ЗАТО Сибирский,городской округ,22,Алтайский край
73,03-601-000-000,-41.05,Абинский,629,Абинский муниципальный район,муниципальный район,23,Краснодарский край
74,03-605-000-000,3.75,Апшеронский,630,Апшеронский муниципальный район,муниципальный район,23,Краснодарский край
75,03-607-000-000,-3.0,Белоглинский,631,Белоглинский муниципальный район,муниципальный район,23,Краснодарский край
76,03-608-000-000,-28.7,Белореченский,632,Белореченский муниципальный район,муниципальный район,23,Краснодарский край
77,03-610-000-000,15.947368421052632,Брюховецкий,633,Брюховецкий муниципальный район,муниципальный район,23,Краснодарский край
78,03-612-000-000,6.888888888888889,Выселковский,634,Выселковский муниципальный район,муниципальный район,23,Краснодарский край
79,03-613-000-000,5.853658536585366,Гулькевичский,635,Гулькевичский муниципальный район,муниципальный район,23,Краснодарский край
80,03-614-000-000,4.5,Динской,636,Динской муниципальный район,муниципальный район,23,Краснодарский край
81,03-616-000-000,39.35,Ейский,637,Ейский муниципальный район,муниципальный район,23,Краснодарский край
82,03-618-000-000,-12.205128205128204,Кавказский,638,Кавказский муниципальный район,муниципальный район,23,Краснодарский край
83,03-619-000-000,1.3157894736842106,Калининский,639,Калининский муниципальный район,муниципальный район,23,Краснодарский край
84,03-620-000-000,25.58974358974359,Каневской,640,Каневской муниципальный район,муниципальный район,23,Краснодарский край
85,03-621-000-000,14.108108108108109,Кореновский,641,Кореновский муниципальный район,муниципальный район,23,Краснодарский край
86,03-623-000-000,34.68292682926829,Красноармейский,642,Красноармейский муниципальный район,муниципальный район,23,Краснодарский край
87,03-624-000-000,-2.8421052631578947,Крыловский,643,Крыловский муниципальный район,муниципальный район,23,Краснодарский край
88,03-625-000-000,51.073170731707314,Крымский,644,Крымский муниципальный район,муниципальный район,23,Краснодарский край
89,03-627-000-000,19.135135135135137,Курганинский,645,Курганинский муниципальный район,муниципальный район,23,Краснодарский край
90,03-628-000-000,-0.65,Кущевский,646,Кущевский муниципальный район,муниципальный район,23,Краснодарский край
91,03-630-000-000,-22.0,Лабинский,647,Лабинский муниципальный район,муниципальный район,23,Краснодарский край
92,03-632-000-000,11.5,Ленинградский,648,Ленинградский муниципальный район,муниципальный район,23,Краснодарский край
93,03-633-000-000,11.9,Мостовский,649,Мостовский муниципальный район,муниципальный район,23,Краснодарский край
94,03-634-000-000,-27.210526315789473,Новокубанский,650,Новокубанский муниципальный район,муниципальный район,23,Краснодарский край
95,03-635-000-000,7.828571428571428,Новопокровский,651,Новопокровский муниципальный район,муниципальный район,23,Краснодарский край
96,03-637-000-000,-20.38888888888889,Отрадненский,652,Отрадненский муниципальный район,муниципальный район,23,Краснодарский край
97,03-639-000-000,-5.722222222222222,Павловский,653,Павловский муниципальный район,муниципальный район,23,Краснодарский край
98,03-641-000-000,8.210526315789474,Приморско-Ахтарский,654,Приморско-Ахтарский муниципальный район,муниципальный район,23,Краснодарский край
99,03-643-000-000,88.8780487804878,Северский,655,Северский муниципальный район,муниципальный район,23,Краснодарский край
100,03-645-000-000,-0.6486486486486487,Славянский,656,Славянский муниципальный район,муниципальный район,23,Краснодарский край
101,03-647-000-000,10.153846153846153,Староминский,657,Староминский муниципальный район,муниципальный район,23,Краснодарский край
102,03-649-000-000,-9.68421052631579,Тбилисский,658,Тбилисский муниципальный район,муниципальный район,23,Краснодарский край
103,03-651-000-000,103.52631578947368,Темрюкский,659,Темрюкский муниципальный район,муниципальный район,23,Краснодарский край
104,03-653-000-000,26.5,Тимашевский,660,Тимашевский муниципальный район,муниципальный район,23,Краснодарский край
