,oktmo,Административная деятельность_зарплата,Водоснабжение_зарплата,Гос. управление и военн. безопасность_зарплата,Гостиницы и общепит_зарплата,Деятельность экстер. организаций_зарплата,Добыча полезных ископаемых_зарплата,Здравоохранение_зарплата,ИТ и связь_зарплата,Научная и проф. деятельность_зарплата,Обрабатывающие производства_зарплата,Образование_зарплата,Операции с недвижимостью_зарплата,Прочие услуги_зарплата,Сельское хозяйство_зарплата,Спорт и досуг_зарплата,Строительство_зарплата,Торговля_зарплата,Транспортировка и хранение_зарплата,Услуги ЖКХ_зарплата,Финансы и страхование_зарплата,municipal_district_name_short,territory_id,municipal_district_name,municipal_district_type,region_code,region_name,oktmo_nosplit
11,01-608-000-000,26179.975,28893.4125,49530.512500000004,23393.5625,,,33982.8375,27482.5,30440.6125,40334.725,32940.0875,,,38126.8875,34107.32,,37505.4125,47031.825,45111.9125,41713.4375,Волчихинский,521,Волчихинский муниципальный район,муниципальный район,22,Алтайский край,01608000
12,01-609-000-000,33084.05,23355.4,42909.1125,37303.0,,,33957.6,25533.225,34580.7625,40473.4625,34979.025,32445.85,,41878.7625,36246.6375,,43760.825,48896.025,39121.6375,42907.925,Егорьевский,522,Егорьевский муниципальный район,муниципальный район,22,Алтайский край,01609000
13,01-610-000-000,32459.725,24576.45,40923.725,20411.5625,,,29555.0875,22173.4,42241.8375,,32138.625,,,19914.35,30347.975,66467.6,40969.5375,45685.65,38704.5375,37025.075,Ельцовский,523,Ельцовский муниципальный район,муниципальный район,22,Алтайский край,01610000
14,01-611-000-000,31112.7,26919.825,49774.4875,34723.425,,,32668.375,24022.625,36725.0,35892.137500000004,35888.4375,37152.25,20448.95,42727.4125,30698.1875,,42435.9125,65736.0875,39600.375,49835.15,Завьяловский,524,Завьяловский муниципальный район,муниципальный район,22,Алтайский край,01611000
15,01-612-000-000,33934.399999999994,30419.55,45931.725,,,,33291.925,32104.15,39862.275,33070.725,37064.9125,92597.225,,34808.375,35046.225,16978.85,37221.0875,42385.3125,39325.8,47518.12857142858,Залесовский,525,Залесовский муниципальный район,муниципальный район,22,Алтайский край,01612000
16,01-613-000-000,,34648.2,35961.75,,,,28786.925,,31099.9,38327.1,30004.0375,,,54434.75,32161.0,,28043.525,62448.35,47847.6875,36366.825,Заринский,526,Заринский муниципальный район,муниципальный район,22,Алтайский край,01613000
17,01-614-000-000,26841.0,31443.1,51411.95,20407.524999999998,,104220.35,35229.825,48276.125,58451.55,41666.5,34130.3,35431.75,,43597.4375,32022.6625,129323.35,38006.7,54645.4125,48014.2375,46922.425,Змеиногорский,527,Змеиногорский муниципальный район,муниципальный район,22,Алтайский край,01614000
18,01-615-000-000,24478.5875,33715.0,49997.4875,27641.725,,,32162.375,24863.0,28152.375,17286.775,37111.4625,253114.6,,78419.425,34052.5,,35660.0,49418.6,52475.2125,39246.3375,Калманский,528,Калманский муниципальный район,муниципальный район,22,Алтайский край,01615000
19,01-616-000-000,30902.475,31578.8375,49788.2875,25213.525,,,34887.5875,52150.8,31742.85,35317.625,32622.825,26952.4125,36622.225,46216.4,33648.4875,39181.725,42405.425,53411.7,47734.6,52905.2875,Каменский,529,Каменский муниципальный район,муниципальный район,22,Алтайский край,01616000
20,01-617-000-000,30246.983333333334,30026.7,45728.375,,,,32396.0625,27632.95,34914.05,,34312.1125,26622.225,29673.1625,33172.6,32867.15,,45499.1375,47764.1125,39878.8625,44495.1875,Ключевский,530,Ключевский муниципальный район,муниципальный район,22,Алтайский край,01617000
